0,0.754283,0.67821,0.0426952,0.0383892
1,2.19945,0.152199,0.332864,0.0683143
2,0.898667,1.76668,0.552034,0.441494
3,3.91718,1.84681,1.58679,0.92283
4,3.22455,2.37296,2.35905,1.52608
5,6.10416,5.74687,3.88854,3.09926
6,6.96796,5.50434,5.34821,4.25806
7,7.53228,8.00423,6.60865,5.91318
8,10.4932,9.73347,8.44829,7.69267
9,9.84708,7.38299,9.61343,8.28992
10,11.2776,7.93904,10.8701,8.83285
11,12.2406,11.8134,12.0584,10.3389
12,10.7159,10.5522,12.4417,11.0851
13,14.1732,10.3838,13.6577,11.5338
14,15.3675,15.8249,14.8944,13.411
15,17.1257,16.014,16.3085,14.9059
16,16.472,17.4356,17.1506,16.4325
17,19.0779,15.8839,18.4792,17.0995
18,18.8124,17.8683,19.3679,18.0953
19,18.4529,19.1238,19.8641,19.156
20,22.5235,20.2911,21.3388,20.2477
21,19.8733,20.9866,21.6671,21.2244
22,23.2706,21.6965,22.8029,22.1138
23,22.1005,24.7303,23.2945,23.6032
24,23.9745,24.4066,24.1293,24.622
25,26.9224,24.27,25.5624,25.3008
26,24.8034,24.4429,26.0418,25.7881
27,27.6284,27.4561,27.1343,26.9351
28,29.379,27.2951,28.4341,27.7348
29,27.8069,28.5446,28.9654,28.6413
30,30.2747,29.6808,29.9907,29.6088
31,32.0904,31.708,31.2493,30.8758
32,31.2141,32.4135,31.949,32.0208
33,34.2554,33.6118,33.2671,33.1977
34,34.0074,34.487,34.1936,34.308
35,37.8318,36.8406,35.9093,35.7682
36,35.2584,36.4726,36.5287,36.7701
37,37.2849,37.2185,37.4803,37.6908
38,39.2066,37.4818,38.6872,38.4148
39,39.2024,40.4839,39.5881,39.717
40,40.8403,40.3563,40.6717,40.6647
41,39.9524,39.977,41.2331,41.2444
42,40.6791,41.9806,41.7899,42.1552
43,44.2842,44.1927,43.1149,43.4061
44,43.3095,45.5024,43.8756,44.7014
45,44.861,46.3672,44.8234,45.9134
46,44.9691,46.9895,45.5521,46.9873
47,46.3311,45.7451,46.4239,47.4561
48,48.6691,48.7711,47.6747,48.5282
49,48.0129,46.5131,48.466,48.7462
50,49.6821,50.0388,49.4688,49.7378
51,51.8674,51.7182,50.783,50.9171
52,52.4203,50.8105,51.9397,51.5906
53,53.9333,54.1429,53.2047,52.9142
54,54.1382,55.7447,54.2262,54.3501
55,54.5026,54.8297,55.078,55.2397
56,57.06,57.002,56.3396,56.4386
57,55.5935,57.8113,56.9423,57.5577
58,57.4131,58.9722,57.8037,58.696
59,57.6287,59.0387,58.4917,59.5771
60,60.4892,61.1893,59.6889,60.7553
61,60.9372,60.9464,60.727,61.5975
62,62.1964,61.591,61.8258,62.3706
63,64.5135,63.325,63.2338,63.354
64,64.4769,62.9531,64.3305,64.0068
65,65.2977,64.1,65.3651,64.7464
66,66.2253,65.3527,66.3721,65.5896
67,65.5668,68.578,66.9761,66.9962
68,67.0526,67.9055,67.7475,67.9544
69,71.0804,67.6996,69.2718,68.6354
70,70.3837,70.2995,70.3246,69.7423
71,70.3354,70.0844,71.1191,70.5536
72,70.7945,73.4829,71.8129,71.9583
73,71.1835,73.9591,72.406,73.1898
74,73.9009,74.9356,73.4584,74.3845
75,73.7574,74.2622,74.2458,75.1616
76,75.6371,75.3726,75.2716,75.9907
77,77.3182,75.9798,76.4579,76.7518
78,74.6391,78.0209,76.7841,77.7836
79,80.0862,78.7405,78.2181,78.7519
80,80.3981,79.9076,79.4481,79.7648
81,81.0177,80.127,80.5655,80.6023
82,81.3535,82.514,81.5194,81.7753
83,82.1985,86.2022,82.4452,83.5307
84,85.6776,84.7482,83.9332,84.6407
85,86.0516,86.6242,85.219,85.9233
86,85.7015,84.5735,86.1637,86.4868
87,86.9833,88.4593,87.1716,87.7331
88,89.1053,88.6999,88.4187,88.7774
89,88.1862,90.1181,89.2102,89.901
90,91.287,91.4929,90.4784,91.0849
91,89.593,90.8801,91.125,91.8895
92,92.8507,92.2204,92.2973,92.7856
93,93.8405,92.8177,93.4435,93.6042
94,91.5306,95.0628,93.8613,94.7079
95,94.79,94.7571,94.8284,95.5209
96,96.6229,96.709,95.9782,96.5575
97,95.5629,96.5605,96.6766,97.3473
98,98.1583,96.1174,97.7476,97.8608
99,98.5964,100.153,98.6963,99.0708
